isbn,language_code,is_ebook,average_rating,description,format,publisher,num_pages,isbn13,edition_information,image_url,book_id,title,date,genres,authors
037583687X,,False,3.98,"It's 1953 and 11-year-old Penny dreams of a summer of butter pecan ice cream, swimming, and baseball. But nothing's that easy in Penny's family. For starters, she can't go swimming because her mother's afraid she'll catch polio at the pool. To make matters worse, her favorite uncle is living in a car. Her Nonny cries every time her father's name is mentioned. And the two sides of her family aren't speaking to each other!
Inspired by Newbery Honor winner Jennifer Holm's own Italian American family, Penny from Heaven is a shining story about the everyday and the extraordinary, about a time in America's history, not all that long ago, when being Italian meant that you were the enemy. But most of all, it's a story about families--about the things that tear them apart and bring them together. And Holm tells it with all the richness and the layers, the love and the laughter of a Sunday dinner at Nonny's. So pull up a chair and enjoy the feast! Buon appetito!",Hardcover,Random House Books for Young Readers,288,9780375836879,,https://images.gr-assets.com/books/1320470906m/89377.jpg,89377,Penny from Heaven,2006-07-25,fiction;history;historical fiction;biography;young-adult;children,Jennifer L. Holm
0609605224,,False,3.02,"A Boy in Wintertakes the stuff of newspaper headlines and explores, in a taut, deeply moving narrative, the human passions behind it.
After Nancy Horvath and her eleven-year-old son, Danny, move into their dream house, Danny becomes fast friends with ten-year-old Eddie Nova, the boy next door. Eddie is a hyperactive, difficult child, both boon companion and bane of Danny's existence. Meanwhile, Nancy's helpful, neighborly relationship with Eddie's father, Frank, becomes a passionate affair. Frank is the partner Nancy wishes she had, and the father Danny has always longed for. Then one day, Eddie brings over a hunting bow and playfully aims it at Danny and his dog. In a tragic mishap, Danny accidentally shoots and kills his friend.
The novel traces the repercussions of that accident--in Nancy's voice, in Danny's voice, and from Frank's point of view. Danny's extraordinary account of the events that led up to the action is a heartbreaking, pitch-perfect record of the complications of love, the weight of isolation, and the ultimate opacity of intention and motivation. How Nancy's fierce, enduring love for her son sustains a future for him and how Frank's devastating loss and guilt play into that future provide drama-tic counterpoint to Danny's painful dissection of what he has done.
With stunning imagination and an almost sculptural elegance of storytelling, Maxine Cher-noff balances the radical shock of tragedy with the hard-won optimism of survival. She brilliantly enacts how a child stunned by grief and the adults who love him reclaim their trust in the future. Ultimately, A Boy in Wintertestifies to the power of parental love and steadfast friendship to provide hope and faith in the face of tragedy.",Hardcover,Crown,256,9780609605226,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,977525,A Boy in Winter,1999-09-14,fiction;poetry;mystery;thriller;crime,Maxine Chernoff
,en-GB,True,4.42,"Book #3 in the Demonblood Series.
A new town.
New friends.
And old enemies.
It's time for the ultimate battle.
Read the first book, ""A Demon Made Me Do It"" (it's free). Then read the second, ""Fire with Fire"". Then read this one because A LOT OF CRAZY $*%T GOES DOWN!!!",,,0,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,20426736,"Curse of Shadows and Light (Demonblood, #3)",0000-00-00,fantasy;paranormal;young-adult;romance,Penelope King
0062424475,eng,False,3.9,"The anthology explores the myriad tragic, frustrating, humorous possibilities of the teen love triangle, and features 15 new stories by these authors.",Hardcover,HarperCollins,448,9780062424471,,https://images.gr-assets.com/books/1486678410m/26837046.jpg,26837046,Three Sides of a Heart: Stories about Love Triangles,2017-12-19,young-adult;romance;fantasy;paranormal;fiction;history;historical fiction;biography,Natalie C. Parker;Rae Carson;Brandy Colbert;Katie Cotugno;Alaya Dawn Johnson;E.K. Johnston;Tessa Gratton;Garth Nix;Veronica Roth;Sabaa Tahir;Brenna Yovanoff;Renee Ahdieh;Julie   Murphy;Justina Ireland;Lamar Giles;Bethany Hagen
0743421620,,True,3.81,"Set against the sweeping landscape of Virginia horse country, this breathtaking story of love in the wake of tragedy marks the debut of an exciting voice in romantic fiction.
Cassie Miller was on track to be one of the best equestrian riders of the sport when a terrible accident left her as the guardian of an orphaned niece and nephew. Seeking means to support the twins -- now five years old -- Cassie takes a job as a horse trainer at the prestigious Five Oaks farm where she finds not one, but two worthy adversaries -- Orion, a bold, dark horse that has yet to find a rider it deems its equal, and local veterinarian Caleb Wells, a man whose startling good looks and quick wit leave Cassie unnerved.
As Cassie trains Orion for competition, Caleb, a partner in the farm, watches over their progress. A womanizer since his recent divorce, he soon finds his heart softening for this strong and gifted woman -- and for her unconventional family. But as Orion's Hampton Classic competition looms, Caleb's vengeful ex-wife threatens to ruin everything Cassie and Caleb have worked for...
Reminiscent of the early classics in romantic fiction, Ride A Dark Horseis a winning tale of the bittersweet glories of life and the transformative power of love.",ebook,Pocket Books,448,9780743421621,,https://images.gr-assets.com/books/1392005593m/8182836.jpg,8182836,Ride a Dark Horse,2001-05-23,romance;fiction;children,Laura Moore
1400078121,,False,3.26,"The triumphant follow-up to the bestselling Bee Season, Wickett's Remedy is an epic but intimate novel about a young Irish-American woman facing down tragedy during the Great Flu epidemic of 1918.",Paperback,Anchor Books,370,9781400078127,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,19056,Wickett's Remedy,2006-10-10,fiction;history;historical fiction;biography,Myla Goldberg
,eng,True,4.38,"Samantha's tired of being the pawn in a game she didn't realize she was playing. She's determined to discover the answers she needs to save Austin, and the strength to set them both free. But when all the players are finally revealed, Sam's left to wonder... Will love conquer all, or will death consume everything in its path?",Kindle Edition,Tik Tok Press,0,9781941126325,,https://images.gr-assets.com/books/1409258912m/23121278.jpg,23121278,Becoming Death (The Death Trilogy #3),2014-10-31,romance;fantasy;paranormal,D.T. Dyllin
,eng,True,4.4,"As Kasey's health, life, and her relationship with Ashwin hang precariously in the balance, he must contend with his jealous ex-fiance, Silver Moon. As her jealousy increases to frightening and dangerous levels, Ashwin must find a way to deal with her, as well as figure out how to pull his beloved Kasey from the devastating grip of the tragedy that has befallen her. Will Silver Moon's heinous actions put an end to Ashwin's and Kasey's budding relationship, or will true love prevail?",,Beverly Cialone,0,,,https://images.gr-assets.com/books/1432302396m/21398220.jpg,21398220,The Medicine Man: Book 2,2015-01-01,mystery;thriller;crime;romance,Beverly Cialone
0143105434,,False,3.83,"Wuthering Heightsis a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. After Mr Earnshaw's death, Heathcliff is bullied and humiliated by Catherine's brother Hindley, and wrongly believing that his love for Catherine is not reciprocated, leaves Wuthering Heights. Returning years later as a wealthy and polished man, he proceeds to exact a terrible revenge for his former miseries.
The action of the story is chaotic and unremittingly violent, but the accomplished handling of a complex structure, the evocative descriptions of the lonely moorland setting and the poetic grandeur of vision combine to make this unique novel a masterpiece of English literature.",Paperback,Penguin Classics,344,9780143105435,Deluxe Edition,https://images.gr-assets.com/books/1260726599m/2785278.jpg,2785278,Wuthering Heights,2009-08-25,romance;fiction;history;historical fiction;biography,Emily Bronte;Ruben Toledo
1482438429,,False,3.0,"Cardinals are some of the most recognizable birds. Males are a vibrant red, and both males and females sport feathered crests on their head. Theres a lot to discover about these small songbirds. Their urge to nourish their young is so strong that theyve been observed feeding other birds and even goldfish! This volume, written in the style of a young bird watchers journal, is an entertaining way to learn about the behaviors and life cycle of the cardinal. Essential science vocabulary, interesting facts, and beautiful photographs will enchant readers and inspire them to bird-watch themselves.",Hardcover,Gareth Stevens Publishing,32,9781482438420,,https://images.gr-assets.com/books/1454291510m/27111627.jpg,27111627,A Bird Watcher's Guide to Cardinals,2016-01-15,non-fiction,Therese Shea
,eng,True,4.17,"***AUTHOR NOTE: Breaking the Skin is a 20k word short novella that was included in the Taming the Vampire Anthology and is now being made available on its own for Kindle Unlimited users. Thanks!***
Michael ""Hatch"" Jacobson is hired muscle and damn good at his job. Since the existence of Vampires was revealed on earth, humans and blood drinkers have lived in peace. Because each side has abided by a strict set of rules. But rules get broken, and now Hatch is putting his muscle to use working with the blood-bag drinking Daybreakers to keep a rogue faction of vamps from feasting on humans.
Lola Sommers works at a local blood bank. Her job allows her to support a cause dear to her: providing sustenance for the vamps who value human life. Her unique heritage opens her heart to their plight, but it's a human that catches her attention and makes her want a future like the stories her grandparents shared about true love. Back when shifters and witches existed. Before blood was a commodity and humans sat a little lower on the food chain.
When Lola is put in the crosshairs of a Daybreaker war, Hatch will risk it all to protect what's his.",,,0,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,33280497,Breaking the Skin,0000-00-00,fantasy;paranormal;romance,P. Jameson
0785141731,eng,False,3.68,"Professor Xavier finds himself face-to-face with his half-brother - The Unstoppable Juggernaut! But is Juggernaut friend or foe? Then, It's the moment that X-Fans have been waiting for - Rogue makes her return to the X-Books. But while Xavier seeks out Rogue, who is searching for him? Hunter becomes hunted and friend becomes foe, in a story that will change your favorite Southern Belle forever!
Collects X-Men #219-225.",Hardcover,Marvel,168,9780785141730,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,6550234,X-Men Legacy: Salvage,2009-08-19,comics;graphic;fiction;fantasy;paranormal,Mike Carey;Scot Eaton;Philip Briones
0606364412,eng,False,4.49,"Celaena Sardothien is the king's Champion--yet she is far from loyal to the crown, for the man she serves is bent on evil. But working against her master in secret is no easy task. As Celaena tries to untangle the mysteries buried within the glass castle, she can trust no one, not even her supposed allies Crown Prince Dorian, Captain of the Guard Chaol, and foreign princess Nehemia.Then, an unspeakable tragedy shatters Celaena's world. She must decide once and for all where her loyalties lie ... and whom she will fight for.An action-packed and romantic adventure that readers will never want to leave (Kirkus Reviews), the next chapter in this smash hit New York Times best-selling series is sure to please Sarah Maas's enormous and ever-growing fan-base--and to set the stage for an explosive third book.",Hardcover,Turtleback Books,448,9780606364416,,https://images.gr-assets.com/books/1421010135m/23646629.jpg,23646629,"Crown of Midnight (Throne of Glass, #2)",2014-09-02,fantasy;paranormal;romance;young-adult;fiction;mystery;thriller;crime,Sarah J. Maas
